Address,lon,lat,Name,City,Country,years_open,gallery_page,Gallery Image,bg_accuracy
"16, rue Laffitte",2.3374438,48.8723801,Galerie Durand-Ruel,Paris,France,1834-1974,http://chnm.gmu.edu/transatlanticencounters/items/show/5174,,RANGE_INTERPOLATED
"11, rue Richepanse",2.3249069,48.8688164,Galerie Eugène Blot,Sartrouville,France,,http://chnm.gmu.edu/transatlanticencounters/items/show/5175,,ROOFTOP
"20, rue de Miromesnil",2.3161932,48.8726762,Galerie A.G. Fabre,Paris,France,,http://chnm.gmu.edu/transatlanticencounters/items/show/5176,http://chnm.gmu.edu/transatlanticencounters/archive/square_thumbnails/bd2567fa12cfccec86bf8be7c8094e75.jpg,ROOFTOP
"40, rue de la Boëtie",2.3142814,48.8737524,Galerie Georges Bernheim,Paris,France,,http://chnm.gmu.edu/transatlanticencounters/items/show/5177,,ROOFTOP
"8, rue de sèze",2.3267103,48.87036879999999,Galerie Georges Petit,Paris,France,1881-1933,http://chnm.gmu.edu/transatlanticencounters/items/show/5179,,ROOFTOP
"1, rue Édouard VII",2.3290465,48.8704405,Galerie Girard,Paris,France,,http://chnm.gmu.edu/transatlanticencounters/items/show/5180,,ROOFTOP
"76, rue du Faubourg Saint Honoré",2.317776400000001,48.8705429,Galerie Jean Charpentier,Paris,France,1924-1960,http://chnm.gmu.edu/transatlanticencounters/items/show/5184,,ROOFTOP
"3, rue du Cherche-Midi",2.3297445,48.8518765,Galerie Jeanne Bucher,Paris,France,1925-present,http://chnm.gmu.edu/transatlanticencounters/items/show/5185,http://chnm.gmu.edu/transatlanticencounters/archive/square_thumbnails/0d43992d511d088f5d5eadfcb0bf0fd5.jpg,ROOFTOP
"19, place de la Madeleine",2.3239974,48.8708023,Galerie Joubert et Richebourg,Paris,France,,http://chnm.gmu.edu/transatlanticencounters/items/show/5188,http://chnm.gmu.edu/transatlanticencounters/archive/square_thumbnails/83d93f9217ed10e7d0b21ac22e2dd84e.jpg,ROOFTOP
"19, quai de Conti",2.3379017,48.8571115,Galerie Katia Granoff,Paris,France,1928,http://chnm.gmu.edu/transatlanticencounters/items/show/5189,,ROOFTOP
"19, rue de la Baume",2.3129074,48.8747513,Galerie L'Effort Moderne,Paris,France,1918-1941,http://chnm.gmu.edu/transatlanticencounters/items/show/5193,http://chnm.gmu.edu/transatlanticencounters/archive/square_thumbnails/b78821b5ba33143d57ed13088c326b0e.jpg,ROOFTOP
"22, rue La Boétie",2.3162277,48.8741628,Galerie L'Epoque,Paris,France,,http://chnm.gmu.edu/transatlanticencounters/items/show/5194,http://chnm.gmu.edu/transatlanticencounters/archive/square_thumbnails/82597c1625687e9e6723a8986d2c0537.jpg,ROOFTOP
"47, rue Dumont d'Urville",2.2947981,48.87130089999999,Galerie Manuel Frères,Paris,France,,http://chnm.gmu.edu/transatlanticencounters/items/show/5197,,ROOFTOP
"33, rue Bonaparte",2.3339578,48.8547758,Galerie Marck,Paris,France,,http://chnm.gmu.edu/transatlanticencounters/items/show/5198,http://chnm.gmu.edu/transatlanticencounters/archive/square_thumbnails/caa921e3284def642be578d0ba0b5015.jpg,ROOFTOP
"14, rue Duphot",2.3257426,48.8683655,Galerie Monna Lisa,Paris,France,,http://chnm.gmu.edu/transatlanticencounters/items/show/5199,,ROOFTOP
"38, rue La Boétie",2.3147156,48.8738883,Galerie Percier,Paris,France,1923-1935,http://chnm.gmu.edu/transatlanticencounters/items/show/5200,http://chnm.gmu.edu/transatlanticencounters/archive/square_thumbnails/6f7f5b93dc642c3553951c7f5bb6417e.jpg,ROOFTOP
"13, rue Bonaparte",2.3345982,48.856323,Galerie Pierre,Paris,France,1924-1963,http://chnm.gmu.edu/transatlanticencounters/items/show/5201,http://chnm.gmu.edu/transatlanticencounters/archive/square_thumbnails/b30cae08a682008f4862a6c9ea48b721.jpg,ROOFTOP
"164, rue Faubourg Saint-Honoré",2.3093962,48.8735716,Galerie Renou et Colle,Paris,France,1935-1948,http://chnm.gmu.edu/transatlanticencounters/items/show/5202,http://chnm.gmu.edu/transatlanticencounters/archive/square_thumbnails/f8154d3a4b49d851624e95a625395900.jpg,ROOFTOP
"133, blvd Raspail",2.3293227,48.8438137,Galerie Pittoresque,Paris,France,,http://chnm.gmu.edu/transatlanticencounters/items/show/5203,,ROOFTOP
