Name,Birth,Death,nationality_1,nationality_2,dates_in_paris,Schools Attended,Exhibitions,Contacts,Government Grant,Notes,Tags,Image,address,lon,lat
"Brecheret, Victor",1894,1955,Brazil,born in Italy),1917; 1921-1926; 1927-1932; 1933-1934; 1934-1937,NA,"1921, 1922, 1923 (Mise au tombeau), 1924 (Porteuse au Perfums), 1925, 1928 Salon d'Automne<br /> 1923 Inauguration of the Maison de l'Amérique Latine<br /> 1924 (Mar. 15-Apr. 15) Exposition d'Art Américain-Latin, Musée Galliera (Sentinelle, Rhythme, poster design for exhbition)<br /> 1925 Salon de la Société des Artistes Français (honorable mention)<br /> 1925, 1929, 1930, 1931, 1932 Salon des Tuileries<br /> 1925, 1928, 1929 (Aprés le bain, Fuite en Egypte) Salon des Independants<br /> 1926 Exposition des Peintres et Sculpteurs de l'Ecole de Paris (Danseuse, honorable mention)",Constantin Brancusi,yes (1921-1926; 1927-1929),"His O Grupo was acquired by the French government in 1934 for the Musée Jeu de Paume; it was later moved to the public library at La Roche-sur-Yon, where it remains on display.","Brazil, 1924 Exposition d'Art Américain-Latin, Salon des Indépendants, Salon des Tuileries, Salon des Artistes Français",NA,"14, rue Bréa (Vie)",NA,NA
"Brecheret, Victor",1894,1955,Brazil,born in Italy),1917; 1921-1926; 1927-1932; 1933-1934; 1934-1937,NA,"1921, 1922, 1923 (Mise au tombeau), 1924 (Porteuse au Perfums), 1925, 1928 Salon d'Automne<br /> 1923 Inauguration of the Maison de l'Amérique Latine<br /> 1924 (Mar. 15-Apr. 15) Exposition d'Art Américain-Latin, Musée Galliera (Sentinelle, Rhythme, poster design for exhbition)<br /> 1925 Salon de la Société des Artistes Français (honorable mention)<br /> 1925, 1929, 1930, 1931, 1932 Salon des Tuileries<br /> 1925, 1928, 1929 (Aprés le bain, Fuite en Egypte) Salon des Independants<br /> 1926 Exposition des Peintres et Sculpteurs de l'Ecole de Paris (Danseuse, honorable mention)",Constantin Brancusi,yes (1921-1926; 1927-1929),"His O Grupo was acquired by the French government in 1934 for the Musée Jeu de Paume; it was later moved to the public library at La Roche-sur-Yon, where it remains on display.","Brazil, 1924 Exposition d'Art Américain-Latin, Salon des Indépendants, Salon des Tuileries, Salon des Artistes Français",NA,"52, rue Vercingétorix (XIVe)",2.3172233,48.8368924
"Bruget, Adelita",NA,NA,Argentina,,NA,NA,1931 Salon des Artistes Français,NA,NA,NA,"Argentina, female, Salon des Artistes Français",NA,NA,NA,NA
"Butler, Guillermo",1880,1960,Argentina,,"1911-1915, 1920, 1928-1936 (back and forth to Buenos Aires)",NA,"1920 Salon d'Automne<br /> 1927 (Jun. ?) Exposition de Peintres et Sculpteurs Argentins, L'Association Paris-Amérique Latine",NA,NA,NA,"Argentina, Salon d'Automne",NA,"83, rue de la Tombe-Issoire",2.3325286,48.8273084
"Butler, Horacio",1897,1983,Argentina,,1922; 1923-1931,Académie Montparnasse with André Lhote; Académie Moderne with Othon Friesz,"1924 “Exposition Art Américain-Latin,” Musée Galliera (Nature morte)<br /> 1926, 1927, 1931 Salon d'Automne<br /> 1926 (Apr.) Exposition d'art argentin, Jeu de Paume (organized by the Universidad de La Plata)<br /> 1930 (Dec.) Huit artistes du Rio de la Plata, Galerie Castelucho-Diana<br /> 1930, 1932 Salon des Tuileries<br /> 1931 Galerie Viau (group show El pianista)",NA,NA,Grupo de Paris,"Argentina, 1924 Exposition d'Art Américain-Latin, Salon des Tuileries",NA,"51 bis, rue Cler",2.3069356,48.8562664
"Caballero, Jorge",1902,1992,Chile,,1927-1931,Académie André Lhote,"1929 Salon des Indépendants (2 works-not listed in guide)<br /> 1930  (Apr. 11-24) Première exposition du groupe latino-americain de Paris, Galerie Zak",NA,NA,Grupo de Montparnasse; 1928 named Head of Studio for André Lhote,"Chile, Salon des Indépendants, 1930 Exposition du Groupe Latino-Americain, Galerie Zak, Académie André Lhote",NA,NA,NA,NA
"Cabezón, Isaías",1891,1963,Chile,,1924-1927; 1929; 1932-1933,Académie Colarossi; Académie de la Grande Chaumière; Académie André Lhote,"1926 (Mar.) Arte Americano Cabinet Maldoror, Brussels (group show with Santos Balmori, Jaime Colson, César Moro)<br /> 1931, 1932 Salon des Indépendants<br />",NA,yes,Grupo de Montparnasse,"Chile, Salon des Indépendants, Académie de la Grande Chaumière, Académie André Lhote, Académie Colarossi",NA,"2, avenue de La Motte-Picquet VIIe",2.3096437,48.857295
"Cabezón, Isaías",1891,1963,Chile,,1924-1927; 1929; 1932-1933,Académie Colarossi; Académie de la Grande Chaumière; Académie André Lhote,"1926 (Mar.) Arte Americano Cabinet Maldoror, Brussels (group show with Santos Balmori, Jaime Colson, César Moro)<br /> 1931, 1932 Salon des Indépendants<br />",NA,yes,Grupo de Montparnasse,"Chile, Salon des Indépendants, Académie de la Grande Chaumière, Académie André Lhote, Académie Colarossi",NA,"Chez M. Mori 44, bis, avenue de Châtillon XIVe",2.31515,48.823
"Cabré, Manuel",1890,1984,Venezuela,born in Spain),1920-1932 (1930 back in Caracas for exhibition at Club Central),Académie de la Grande Chaumière (July 1920); Académie Colorassi,"1922 (La Marne, Coin à Bellevue), 1923 (Nature Morte, Paysage de la Haute-Savoie, Paysage de la Haute-Savoie), 1925 (Barques de pêcheurs, Vue de Martigues), 1926 (Village de pêcheurs, Paysage), 1928 (Café des Arts (St. Tropez), Olivier), 1929 (Le Grand Pain, Voiliers) Salon des Indépendants<br /> 1922 (La route de Gergovie, Taninges et le Pic de Marcelly), 1928 (St. Tropez) Salon d'Automne<br /> 1923 Maison de L'Amérique Latine<br />1924 (Mar. 15-Apr. 15) Exposition d'Art Américain-Latin, Musée Galliera (La marchande de ballons, Portrait de l'auteur, 2 Paysage)<br /> 1925 (Mar. 15) L’Exposition de la compagnie des peintres et sculpteurs professionnels a la closerie des lilas<br /> 1927 (Oct. 15-29) Galerie Girard 1, rue Edouard-VII<br />  group exhibitions at Le Petit Napolitan, Le Café du Parnasse, La Closerie de Lilas, Cafes de Montparnasse",Mûtzner,yes,"listed in Dictionnaire Biographique des Artistes Contemporains, 1910-1930","Venezuela, 1924 Exposition d'Art Américain-Latin, Salon des Indépendants, Académie de la Grande Chaumière, Académie Colarossi",NA,"127, boulevard Saint-Michel, Paris (VIe)",NA,NA
"Cabré, Manuel",1890,1984,Venezuela,born in Spain),1920-1932 (1930 back in Caracas for exhibition at Club Central),Académie de la Grande Chaumière (July 1920); Académie Colorassi,"1922 (La Marne, Coin à Bellevue), 1923 (Nature Morte, Paysage de la Haute-Savoie, Paysage de la Haute-Savoie), 1925 (Barques de pêcheurs, Vue de Martigues), 1926 (Village de pêcheurs, Paysage), 1928 (Café des Arts (St. Tropez), Olivier), 1929 (Le Grand Pain, Voiliers) Salon des Indépendants<br /> 1922 (La route de Gergovie, Taninges et le Pic de Marcelly), 1928 (St. Tropez) Salon d'Automne<br /> 1923 Maison de L'Amérique Latine<br />1924 (Mar. 15-Apr. 15) Exposition d'Art Américain-Latin, Musée Galliera (La marchande de ballons, Portrait de l'auteur, 2 Paysage)<br /> 1925 (Mar. 15) L’Exposition de la compagnie des peintres et sculpteurs professionnels a la closerie des lilas<br /> 1927 (Oct. 15-29) Galerie Girard 1, rue Edouard-VII<br />  group exhibitions at Le Petit Napolitan, Le Café du Parnasse, La Closerie de Lilas, Cafes de Montparnasse",Mûtzner,yes,"listed in Dictionnaire Biographique des Artistes Contemporains, 1910-1930","Venezuela, 1924 Exposition d'Art Américain-Latin, Salon des Indépendants, Académie de la Grande Chaumière, Académie Colarossi",NA,"10, villa Duthy XIVe (1925)",2.3167928,48.827803
"Cabrera, Germán",1903,1990,Uruguay,,"1926-1928, 1936-1938","Académie Colarossi (with Charles Despiau), Académie de la Grande Chaumière (with Emile-Antoine Bourdelle)","1937 Salon d’Automne<br /> 1937 Exposition internationale des arts et techniques dans la vie moderne, gold medal<br /> 1938 Salon des Tuileries",NA,NA,sculptor,"Uruguay, Salon d'Automne, Académie de la Grande Chaumière, Salon des Tuileries, 1937 Exposition Internationale des Arts et Techniques dans la Vie Moderne, Académie Colarossi",NA,"5, rue de Plaisance",2.3199007,48.8322931
"Cabrera, Lydia",1899,1991,Cuba,,1927-1929,Ecole du Louvre (oriental art); Ecole des Beaux-Arts; 1931 Leger's Académie Contemporaine,NA,NA,no-ran an antique store (Casa Alyds) to raise money for trip,burned all her canvases and turned to writing,"Cuba, female",NA,Montmartre,2.3430895,48.8861929
"Cabrera, Rosario",1901,1975,Mexico,,1925,NA,"1925 (Dec. 14-24) Galerie Bernheim-Jeune, Fanbourg Saint-Honoré no. 84 (10 landscapes, 9 studies, 7 portraits, 16 aguasfuertes)",NA,pension from the Secretaría de Educación Pública,NA,"Mexico, Galerie Bernheim-Jeune",NA,NA,NA,NA
"Caceres, Hector",1897,1980,Chile,,1929-1939,"Académie de la Grand Chaumière, Académie Colarossi",NA,NA,yes,Grupo de Montparnasse,"Chile, Académie Colarossi",NA,NA,NA,NA
"Calandria, Juan José",1902,1980,Uruguay,,ca. 1925-1939,"Bourdelle, Despiau, Gimond; assistant to Gimond at the Académie Colarossi",Salon des Tuileries<br />  Salon de Printemps<br /> Exposition des Artistes Contemporains<br /> 1937 Exposition internationale des arts et techniques dans la vie moderne (gold medal),NA,yes (4 years ),sculptor,"Uruguay, Salon des Tuileries, 1937 Exposition Internationale des Arts et Techniques dans la Vie Moderne, Académie Colarossi",NA,NA,NA,NA
"Campão, José Marques",1892,1949,Brazil,,1927-1930 (perhaps longer),Jean-Paul Laurens; P.A. Laurens,"1927 (May 5) Galerie Monna Lisa<br /> 1927 (La Maison-de-la-Reine (illustred in catalogue p. 176)), 1928 (Tranquilité), 1929 (Cours La Favette, Toulon, L’aube (Tamaris) (illustrated in catalogue p. 48), Nu, pastel), 1930 (La Figurante (illustred in catalogue p. 77), Dans la loge, pastel), 1931 Société des Artistes Français",NA,NA,"painter of nudes and landscapes; Member of Salon des Artistes Français, de la Galerie Brachot de Bruxelles","Brazil, Salon des Artistes Français",NA,"31, rue Campagne-Première",2.3315226,48.8388713
"Campofiorito, Quirino",1902,1993,Brazil,,ca. 1933,NA,1933 Salon d'Automne<br /> 1931 Société Nationale des Beaux-Arts,NA,NA,NA,"Brazil, Salon d'Automne, Société Nationale des Beaux Arts",NA,"16, rue Perceval",2.3163585,49.8849504
"Candia, Domingo",1896,1976,Argentina,,ca. 1931,NA,1931 Salon des Surindépendants,NA,NA,NA,Argentina,NA,NA,NA,NA
"Cantú, Federico",1908,1989,Mexico,,1924-1928?,José de Creeft,NA,NA,NA,NA,Mexico,NA,NA,NA,NA
"Caravia, Enrique (1905-1992)",1905,1992,Cuba,,1928 in Europe (not sure he was in Paris),NA,NA,NA,NA,NA,Cuba,NA,NA,NA,NA
"Cardenas Albarracin, Joseph-Michel",NA,NA,Peru,,NA,NA,"1924, 1925, 1926, 1927, 1928 Salon des Indépendants",NA,NA,"listed in Dictionnaire Biographique des Artistes Contemporains, 1910-1930","Peru, Salon des Indépendants",NA,NA,NA,NA
"Carreño, Mario",1913,1956,Cuba,,1937-39,Académie Julian with Jean Souverbie; Ecole des Arts Appliqués,"1939 (Apr. 24-May 5) Exposition Carreno peintre Cubain, Galerie Bernheim-Jeune (with Jaime Colson)<br /> 1939 Galerie Royal (group show)",Oscar Dominguez,no,one canvas acquired by the Jeu de Paume; met Colson in Mexico before going to Paris,"Cuba, Galerie Bernheim-Jeune, Académie Julian",NA,"near Porte d'Orléans, XIVe",2.3261548,48.8229433
"Carrie, Anna de",NA,NA,Unknown,,ca. 1923,NA,1923 Salon des Artistes Français,NA,NA,NA,"female, Salon des Artistes Français",NA,NA,NA,NA
"Casals, Jorge",NA,NA,Argentina,,ca. 1939,NA,NA,NA,NA,NA,Argentina,NA,NA,NA,NA
"Casas, Carmen de las",NA,NA,Venezuela,,ca. 1928; 1937; 1939,with André Lhote in Miromandre 1937,1928 Salon d'Autonme,NA,NA,Brought works by André Lhote to exhibit and sell in Venezuela in 1939,"Venezuela, female, Salon d'Automne",NA,NA,NA,NA
"Casasus, León",1896,1981,Mexico,,NA,NA,NA,NA,NA,NA,Mexico,NA,NA,NA,NA
"Castellanos, Carlos Alberto",1881,1945,Uruguay,,1919-1927; 1928-1938,NA,"1919, 1920, 1921, 1923, 1928 Salon d'Automne<br /> 1921 Salon des Artistes Décorateurs<br /> 1923 Exposición de Cartons de Tapisseries pour Aubusson, Musée Galliera<br /> 1924 (Mar. 15-Apr. 15) Exposition d'Art Américain-Latin, Musée Galliera (decorative panels and Maquettes pour le ballet Amancay)<br /> 1926 (Oct.) Exposition-Vente d'Art<br /> 1926 Salón du France Musée Galliera organized by Paris Midi newspaper<br /> 1927 Exposition Galerie Le Journal (group)<br /> 1927 (Mar. 16-30) Exposition Carlos A. Castellanso Tableaux et Tapisseries, Galerie Durand-Ruel<br /> 1930 (Apr. 11-24) Première exposition du groupe latino-americain de Paris, Galerie Zak<br /> 1930 (Dec. 2-14) Huit artistes du Rio de la Plata, Galerie Castelucho-Diana, 16, rue de la Grande Chaumière (organized by Castellanos)<br /> 1930, 1931 Salon des Tuileries<br /> 1937 Exposition internationale des arts et techniques dans la vie moderne, Uruguay Pavillion, Mural decoration",NA,yes,works in the Louvre and in the collections of Butler and Sarola; sells Espagnols surpris par des Indiens in 1926 for 3500f,"Uruguay, Salon d'Automne, 1924 Exposition d'Art Américain-Latin, 1930 Exposition du Groupe Latino-American, Salon des Tuileries, 1937 Exposition Internationale des Arts et Techniques dans la Vie Moderne, Galerie Zak",NA,"84, rue d'assas VIe",2.3325567,48.8443691
"Castellanos, Carlos Alberto",1881,1945,Uruguay,,1919-1927; 1928-1938,NA,"1919, 1920, 1921, 1923, 1928 Salon d'Automne<br /> 1921 Salon des Artistes Décorateurs<br /> 1923 Exposición de Cartons de Tapisseries pour Aubusson, Musée Galliera<br /> 1924 (Mar. 15-Apr. 15) Exposition d'Art Américain-Latin, Musée Galliera (decorative panels and Maquettes pour le ballet Amancay)<br /> 1926 (Oct.) Exposition-Vente d'Art<br /> 1926 Salón du France Musée Galliera organized by Paris Midi newspaper<br /> 1927 Exposition Galerie Le Journal (group)<br /> 1927 (Mar. 16-30) Exposition Carlos A. Castellanso Tableaux et Tapisseries, Galerie Durand-Ruel<br /> 1930 (Apr. 11-24) Première exposition du groupe latino-americain de Paris, Galerie Zak<br /> 1930 (Dec. 2-14) Huit artistes du Rio de la Plata, Galerie Castelucho-Diana, 16, rue de la Grande Chaumière (organized by Castellanos)<br /> 1930, 1931 Salon des Tuileries<br /> 1937 Exposition internationale des arts et techniques dans la vie moderne, Uruguay Pavillion, Mural decoration",NA,yes,works in the Louvre and in the collections of Butler and Sarola; sells Espagnols surpris par des Indiens in 1926 for 3500f,"Uruguay, Salon d'Automne, 1924 Exposition d'Art Américain-Latin, 1930 Exposition du Groupe Latino-American, Salon des Tuileries, 1937 Exposition Internationale des Arts et Techniques dans la Vie Moderne, Galerie Zak",NA,"8, rue de la Grande Chaumière",2.3308215,48.8423849
"Castellanos, Julio",1905,1947,Mexico,,1925 (few months),Académie André Lhote,NA,NA,NA,Traveled with Manuel Rodríguez Lozano via Buenos Aires,"Mexico, Académie André Lhote",NA,NA,NA,NA
"Castellanos, Roberto",1871,1942,Uruguay,,ca. 1923,NA,1923 Salon des Indépendants,NA,NA,NA,Uruguay,NA,"68, rue Asselin, Cherbourg",-1.635231,49.6404723
"Castillo, Marcos",1900,1966,Venezuela,,1926,Académie Julian with Bonnard and Ferrier,NA,NA,NA,NA,"Venezuela, Académie Julian",NA,NA,NA,NA
"Castillo, Sarah",NA,NA,Argentina,,NA,"M. Leroux, Mlle Labarthe","1930, 1931 Salon des Artistes Français",NA,NA,"Member of l'Union des Femmes peintres et sculpteurs; worked in pastel; listed in Dictionnaire Biographique des Artistes Contemporains, 1910-1930","Argentina, female, Salon des Artistes Français",NA,NA,NA,NA
"Castro, Celia",1860,1930,Chile,,NA,NA,NA,NA,NA,NA,"Chile, female",NA,NA,NA,NA
"Cavalcanti, Emiliano di",1897,1976,Brazil,,1923-1925; 1936-1940,Académie Ranson,"1937 Exposition internationale des arts et techniques dans la vie moderne, gold medal for murals for the French-Brazilian Coffee Company<br /> 1938 Galerie Rive Gauche (introduction Benjamin Crémieux)",NA,NA,NA,"Brazil, 1937 Exposition Internationale des Arts et Techniques dans la Vie Moderne, Académie Ranson",NA,"Hotel Central, rue du Maine",2.3238132,48.8405056
"Cavalleiro, Henrique",1892,1975,Brazil,,1919-1926,Académie Julian (6 mos); Académie André Lhote (1927?),"1923 Salon des Artistes Françaises<br /> 1923, 1924 Société National des Beaux Arts de Paris<br /> 1924 (Mar. 15-Apr. 15) Exposition d'Art Américain-Latin, Musée Galliera",NA,yes-Escola Nacional de Belas Artes,NA,"Brazil, 1924 Exposition d'Art Américain-Latin, Salon des Artistes Français, Académie André Lhote, Académie Julian",NA,"95, rue de Vaugirard",2.3225615,48.8455051
"Celso, Antonio",1896,1984,Brazil,,ca. 1924,NA,"1924 (Mar. 15-Apr. 15) Exposition d'Art Américain-Latin, Musée Galliera<br /> 1924 Salon d'automne",NA,NA,sculptor,"Brazil, Salon d'Automne, 1924 Exposition d'Art Américain-Latin",NA,"1, rue Bréa",2.3304798,48.8436433
"Chacón, Juan Rafael",1894,1982,Costa Rica,,1919 (few months),NA,NA,NA,yes,sculptor,Costa Rica,NA,NA,NA,NA
"Chader, Charles (or Charder)",NA,NA,Argentina,,NA,NA,1926 Société Nationale des Beaux-Arts,NA,NA,NA,"Argentina, Société Nationale des Beaux Arts",NA,NA,NA,NA
"Chavez, Carolina de",NA,NA,Peru,,ca. 1930,NA,"1930 (onze sculpteurs), 1931  Salon des Indépendants",NA,NA,NA,"Peru, female, Salon des Indépendants",NA,NA,NA,NA
"Cid, Elena",NA,NA,Argentina,,ca. 1927,NA,1926 Salon des Indépendants<br /> 1927 Salon d'Automne,NA,NA,NA,"Argentina, female, Salon des Indépendants, Salon d'Automne",NA,NA,NA,NA
"Cilloniz, José",NA,NA,Peru,,NA,NA,1930 Salon des Artistes Français,NA,NA,NA,"Salon des Artistes Français, Peru",NA,NA,NA,NA
"Cistello, Julie de la (Vicomtesse)",NA,NA,Unknown,,ca. 1924,NA,1924 Société Nationale des Beaux-Arts,NA,NA,NA,"female, Société Nationale des Beaux Arts",NA,NA,NA,NA
"Cochet, Gustavo",1894,1979,Argentina,,"1920-1928, 1929-1931, 1933-1939",NA,"1924 Salon des Indépendants<br /> 1926 Salon d'Automne<br /> 1926 Galerie Fabre, rue Miromesnil<br /> Galerie Barreiro, rue de la Seine<br /> Galerie Bernheim, rue Coumartin<br /> 1930 (Apr. 11-24) Première exposition du groupe latino-americain de Paris, Galerie Zak",NA,NA,son of a Frenchman; sold Paysage in 1927 for 200f,"Argentina, Salon d'Automne, Salon des Indépendants, 1930 Exposition du Groupe Latino-Americain, Galerie Zak",NA,"Villa Bel-Air, rue Confland Herblay (S.-et-O.)",NA,NA
"Cochet, Gustavo",1894,1979,Argentina,,"1920-1928, 1929-1931, 1933-1939",NA,"1924 Salon des Indépendants<br /> 1926 Salon d'Automne<br /> 1926 Galerie Fabre, rue Miromesnil<br /> Galerie Barreiro, rue de la Seine<br /> Galerie Bernheim, rue Coumartin<br /> 1930 (Apr. 11-24) Première exposition du groupe latino-americain de Paris, Galerie Zak",NA,NA,son of a Frenchman; sold Paysage in 1927 for 200f,"Argentina, Salon d'Automne, Salon des Indépendants, 1930 Exposition du Groupe Latino-Americain, Galerie Zak",NA,"38, rue du Vieux-Pont-de-Sèvres (Boulogne)",2.2460024,48.832979
"Colin, Roberto Augusto",NA,NA,Brazil,,ca. 1921-1935,NA,"1921, 1922, 1923, 1924, 1925, 1926, 1927, 1928, 1924, 1935 Salon des Indépendants<br /> 1924 (Mar. 15-Apr. 15) Exposition d'Art Américain-Latin, Musée Galliera",NA,NA,NA,"Brazil, 1924 Exposition d'Art Américain-Latin, Salon des Indépendants",NA,"70, rue Damrémont, (XVIIIe)",2.3349763,48.8911496
"Colson, Jaime",1901,1975,Dominican Republic,,"1924-1934, 1938-39",Free Académies of Montparnasse,"1926, 1927, 1928 Salon des Indépendants<br /> 1926 (Mar.) Arte Americano, Cabinet Maldoror, Brussels (with Santos Balmori, Cabezón Isaías, César Moro)<br /> 1927 Asociación París-Amérique Latine, with César Moro<br /> 1930 (Apr. 11-24) Première exposition du groupe latino-americain de Paris, Galerie Zak<br /> 1930 (Apr. 18-May 1) Première Exposition internationale du Groupe Cercle et Carré, Galerie 23<br /> 1939 (Apr. 24-May 5) Exposition Jaime Colson Peintre Dominicain, Galerie Bernheim Jeune (with Mario Carreno)",Torres García,NA,affiliated with Cercle et Carré,"Dominican Republic, Salon des Indépendants, 1930 Exposition du Groupe Latino-Americain, Galerie Zak",NA,"17, rue du Sommerard, Ve",2.3462397,48.8499394
"Colson, Jaime",1901,1975,Dominican Republic,,"1924-1934, 1938-39",Free Académies of Montparnasse,"1926, 1927, 1928 Salon des Indépendants<br /> 1926 (Mar.) Arte Americano, Cabinet Maldoror, Brussels (with Santos Balmori, Cabezón Isaías, César Moro)<br /> 1927 Asociación París-Amérique Latine, with César Moro<br /> 1930 (Apr. 11-24) Première exposition du groupe latino-americain de Paris, Galerie Zak<br /> 1930 (Apr. 18-May 1) Première Exposition internationale du Groupe Cercle et Carré, Galerie 23<br /> 1939 (Apr. 24-May 5) Exposition Jaime Colson Peintre Dominicain, Galerie Bernheim Jeune (with Mario Carreno)",Torres García,NA,affiliated with Cercle et Carré,"Dominican Republic, Salon des Indépendants, 1930 Exposition du Groupe Latino-Americain, Galerie Zak",NA,"rue Hippolite Maindrov, Montrouge (studio)",2.3219549,48.8314938
"Coria, Benjamin-Victor (or Corria)",NA,NA,Mexico,,ca. 1926-,NA,"1929 (Belvédère, Portrait), 1930 Salon des Indépendants",NA,NA,"listed in Dictionnaire Biographique des Artistes Contemporains, 1910-1930; sells Nature Morte in 1926 for 1600f","Mexico, Salon des Indépendants",NA,NA,NA,NA
"Correa, Rafael",1901,1975,Chile,,1930,Jean-Paul Laurens,1930 Société des Artistes Français (Troupeaux d’animaux au Chili (illustrated p. 148),NA,NA,NA,"Chile, Salon des Artistes Français",NA,"125, Boulevard du Montparnasse (American Art Co.)",2.3265248,48.8430905
"Correa-Morales, Lia",1839,1975,Argentina,,NA,NA,"1929 Société Nationale des Beaux-Arts (Portrait de Mme de L, Marguerita)",NA,NA,"listed in Dictionnaire Biographique des Artistes Contemporains, 1910-1930","Argentina, female, Société Nationale des Beaux Arts",NA,NA,NA,NA
"Cortés, Ana",1903 or 1895,1998,Chile,,1925-1928,Académie de la Grande Chaumière; Académie André Lhote,1926 Salon d’Automne<br /> 1926 salon “Société nationale des beaux-arts”,NA,yes,Grupo de Montparnasse,"Chile, female, Salon d'Automne, Académie de la Grande Chaumière, Académie André Lhote",NA,"88, boulevard Saint-Michel (VI)",2.3376063,48.8420016
"Cossio del Pomar, Felipe",1889,1981,Peru,,1911-1932,NA,"1928, 1930 Salon d'Automne<br /> 1929 (Portrait de Mme. De G. (illustrated in catalogue p. 106)), 1930 (Descendants des Incas (illustrated p. 76)), 1931 Société des Artistes Français",NA,yes,Doctorate from University of Cuzco in Letras; Secrétaire de l'Union des Artistes Etrangers de Paris,"Peru, Salon d'Automne, Salon des Artistes Français",NA,"15, rue des Dames-Augustines, Neuilly-sur-Seine",2.2823432,48.8864236
"Costa, Valdemar de",NA,NA,Brazil,,ca. 1930,NA,"1930 (nature morte, paysage), 1931 Salon des Indépendants",NA,NA,NA,"Brazil, Salon des Indépendants",NA,NA,NA,NA
"Cueto, Germán",1893,1975,Mexico,,1927-1932,NA,"1929 Galerie Quatre-Chemins (group show)<br /> 1929 (Feb 6-19) Sculptures et Masques: German Cueto, Salle de la Renaissance, 11, rue Royale<br /> 1930 (Apr. 11-24) Première exposition du groupe latino-americain de Paris, Galerie Zak<br /> 1930 (Apr. 18-May 1) Première Exposition internationale du Groupe Cercle et Carré Galerie 23<br /> 1931 Salon des Surindépendents (9 sculptures)","Marie Blanchard, Torres-García, Lipchitz, Brancusi",NA,"1929-1930 reunion of the estridentistas in París (Arqueles Vela, Germán List Arzubide, Manuel Maples Arce, Germán Cueto and Lola Cueto, Armando Zegri)","Mexico, 1930 Exposition du Groupe Latino-Americain, Galerie Zak",NA,rue des Plantes,NA,NA
"Cuneo, José",1889 or 1887,1977,Uruguay,,"1912-13, 1917, 1925, 1927-30, 1937-1938","Anglada Camarasa, Van Dongen (1912-13), Académie de la Grande Chaumière (1917)",1930 (Feb. 18-Mar. 13) Galerie Zak with Barnabé Michelena (landscapes and still lifes)<br /> 1937 Exposition internationale des arts et techniques dans la vie moderne (bronze medal)<br /> 1938 (Dec.) Galerie Jeanne Castel (watercolors of Uruguay and Venice)<br /> 1938 Salon des Tuileries,NA,yes (1927-20),NA,"Uruguay, Académie de la Grande Chaumière, Salon des Tuileries, 1937 Exposition Internationale des Arts et Techniques dans la Vie Moderne, Galerie Zak",NA,NA,NA,NA
"Curatella Manes, Pablo",1891,1962,Argentina,,1912-1914; 1919-1951,Académie André Lhote,"1912, 1919, 1920, 1921, 1922, 1923, 1924, 1925, 1927, 1928, 1929, 1931, 1932, 1933, 1934, 1937, 1938, 1940 Salon d'Automne<br /> 1923, 1924, 1925, 1926, 1927, 1928, 1929 Salon des Tuileries<br /> 1924, 1925, 1926, 1928 Salon des Indépendants<br /> 1924 (Mar. 15-Apr. 15) Exposition d'Art Américain-Latin, Musée Galliera (Bas relief, La femme au gros manteau, 2 untitled sculptures)<br /> 1925 (Feb. 4-20) Galerie Vavin-Raspail (group show with Pompon, Loutchansky, De Creeft)<br /> 1925 Exposition internationale des arts décoratifs et industriels modernes (silver medal for relief sculpture Lancelot et Geneviève)<br /> 1926 (Apr.) Exposition d'art argentin, Jeu de Paume (organized by the Universidad de La Plata)<br /> 1927 (Jun. ?) Exposition de Peintres et Sculpteurs Argentins, L'Association Paris-Amérique Latine<br /> 1929 Exposition internationale de sculpture, Galerie Georges Bernheim (group show organized by Tériade that included Giacometti)<br /> 1930 (Dec.) Huit artistes du Rio de la Plata, Galerie Castelucho-Diana<br /> 1930, 1931, 1935? Salon des Surindépendants<br /> 1937 Exposition internationale des arts et techniques dans la vie moderne (decoration for Argentine Pavillion)<br />  1939 Legion of Honor from the French government

","Aristide Maillol, Emile-Antoine Bourdelle, Maurice Denis, Paul Sérusier, Henri Laurens, Gris, Brancusi, Le Corbusier, Léger, Gleizes, Severini, Brancusi, Gargallo, Maurice Raynal, Pierre Reverdy
",NA,"sculptor; cubist; diplomat 1926-1947; secretary for the Argentine Embassy in Paris; listed in Dictionnaire Biographique des Artistes Contemporains, 1910-1930","Argentina, 1924 Exposition d'Art Américain-Latin, Salon d'Automne, Salon des Indépendants, Salon des Tuileries, 1925 Exposition Internationale des Arts Décoratifs et Industriels Modernes, 1937 Exposition Internationale des Arts et Techniques dans la Vie Moderne, Legion of Honor, Académie André Lhote",NA,"93, rue Jouffroy (1912)",2.3024588,48.8822088
